Ααρων	Ααρων＆Ἀαρών
ἐνώτισαι	ἐνωτίζομαι＆ὠτίζομαι
ἐνωτίσασθε	ἐνωτίζομαι＆ὠτίζομαι＆ὠτόζομαι
ἐξάδελφός	ἐξάδελφος＆ἐξάδελφός
ἐξαίσια	ἐξαίσιος＆ἐξαίσος
ἐξανθήσει	ἀνθέω＆ἵημι
ἐξεγέρθητι	ἀγείρω＆ἐγείρω
ἐξεδίκησαν	δικάω＆δικέω
ἕξει	ἕξις＆ἔχω
ἐξέκαυσα	καίω＆καύω
ἐξέκαυσαν	καίω＆καύω
ἐξεκκλησίασεν	ἐκκλησιάζω＆κλησιάζω
ἐξεκκλησιάσθη	ἐκκλησιάζω＆κλησιάζω
ἐξέλθατε	ἔρεχομαι＆ἔρχομαι＆έρχομαι
ἐξεπέτασα	πετάζω＆πετάνννυμι
ἐξεπέτασεν	πετάζω＆πετάννυμι＆πεταννύω
ἐξεπίκρανάν	κραίνω＆πικραίνω
ἐξερρίζωσεν	ῥιζόω＆ῥίζω
ἐξετάσει	ἐξετάζω＆ἐτάζω
ἐξῆραν	αἴρω＆ξηρός
ἐξῆρας	αἴρω＆ξηρός
ἐξιχνιάσαι	ἐξιχνιάζω＆ἰχνιάζω
ἐξιχνίασας	ἐξιχνιάζω＆ἐξιχνίαζω
ἐξιχνίασεν	ἰχνεύω＆ἰχνιάζω
ἐξομολογήσει	ἐξομολόγησις＆ὁμολογέω
ἐξομολογήσεσιν	ἐξομολογήσις＆ἐξομολόγησις
ἐξομολόγησιν	ἐξομολογήσις＆ἐξομολόγησις
ἐξομολογήσομαί	ὁμλογέω＆ὁμολογέω
ἐξουδένουν	οὐδενέω＆οὐδενόω
ἐξουδένωκα	ουδενόω＆οὐδενόω
ἐξουδενωμένη	ἐξουδενόω＆οὐδενόω
ἐξουδενωμένον	οὐδενόω＆οὐθενόω
ἐξουδενώσει	ἐξουδένωσις＆οὐδενόω
ἐξουδένωσεν	ἐξουδενόω＆οὐδενόω
ἐξουθενήσουσιν	οὐδενέω＆οὐθενόω
ἐξουθενῶν	ἐξουδενόω＆οὐδενέω＆οὑθενέω
ἐξώσθησαν	ὄζω＆ὠθέω
ἔπαισας	παίζω＆παίω
ἔπαισεν	παίζω＆παίω
ἐπάλξεις	ἐπάλξις＆ἔπαλξις
ἐπανιστανομένους	ἱστάνω＆ἵστημι
ἐπανιστανομένων	ἱστάνω＆ἵστημι
ἐπάνω	ἄνω＆ἀπάνω＆ἐπάνω＆ὠπάνω
ἐπάνωθεν	ἐπάνωθε＆ἐπάνωθεν
ἐπαρυστρίδας	ἐπαρυστρίδας＆ἐπαρυστρίς
ἐπαύλεσιν	ἐπαύλις＆ἔπαυλις
ἐπαύριον	ἀπαύριον＆αὔριον＆ἐπαύριον
ἐπέθεντο	τιθήμι＆τίθημι
ἐπένθει	πενθέω＆πένθος
ἐπεπόθησεν	πείθω＆ποθέω
ἐπεσκέπησαν	ἐπισκέπτω＆σκέπτομαι＆σκέπτω
ἐπέσκεπται	σκέπτομαι＆σκέπτω
ἐπεσκέψαντο	ἐπισκέπτω＆σκέπτομαι
ἐπεσκέψατο	ἐπισκέπτω＆σκέπτομαι
ἐπετήδευσεν	ἐπιτηδεύω＆τηδεύω
ἐπηρμένοι	αἴρω＆αἵρω
ἐπιβούλων	ἐπιβουλή＆ἐπίβουλος
ἐπίγνωθι	γιγνώσκω＆γινώσκω
ἔπιδε	εἶδον＆ἐπί＆ὁράω
ἐπιεικείᾳ	ἐπιεικεία＆ἐπιείκεια
ἐπιεικέως	ἐπιεικέως＆ἐπιεικῶς
ἐπίθες	πείθω＆τίθημι
ἐπιθυμητὰ	ἐπιθυμητά＆ἐπιθυμητός
ἐπιθυμητήν	ἐπιθυμητή＆ἐπιθυμητής
ἐπιθυμητοὺς	ἐπιθυμητής＆ἐπιθυμητός
ἐπιθῶνται	θέω＆τίθημι
ἐπικρατείας	ἐπικρατεία＆ἐπικράτεια
ἐπιλησθήσεται	λανθάνομαι＆λανθάνω
ἐπιόντα	εἶμι＆πίνω
ἐπίσκεψαι	ἐπισκέπτω＆σκέπτομαι
ἐπισκέψασθε	ἐπισκέπτω＆σκέπτομαι＆σκέπτω
ἐπισκέψεται	ἐπισκέπτω＆σκέπτομαι
ἐπισκέψῃ	ἐπισκέπτω＆σκέπτομαι
ἐπισκέψομαι	σκέπτομαι＆σκέπτω
ἐπίσταμαι	ἐπίσταμαι＆ἵστημι
ἐπιστάμενοι	ἐπίσταμαι＆ἵστημι
ἐπιστάμενος	ἐπίσταμαι＆ἵστημι
ἐπίστασθε	ἐπίσταμαι＆ἵστημι
ἐπίσταται	ἐπίσταμαι＆ἐπιστάτης＆ἵσταμαι
ἐπίστῃ	ἐπίσταμαι＆ἵστημι
ἐπισυνηγμένα	ἄγω＆άγω
ἐπιταγῇ	ἐπιταγή＆τάσσω
ἐπιφάναι	φαίνω＆φημί
ἐπιφανείας	ἐπιφανεία＆ἐπιφάνεια
ἐπλήγη	πληγή＆πλήσσω
ἐπονηρεύσαντο	πονηρεύομαι＆πονηρεύω
ἔποπα	ἔποψ＆ἔροψ
ἑπτάκι	ἑπτάκι＆ἑπτάκις
ἐργαζομένους	ἐργάζομαι＆ἐργάζω
ἐργῶνται	ἐργάζο＆ἐργάζομαι
ἐρεθισμῷ	ἐρέθισμα＆ἐρεθισμός
ἔρημα	ἔρημα＆ἔρημος
ἔρημοι	ἐρῆμος＆ἔρημος
ἐρήμοις	ἐρῆμος＆ἔρημος
ἔρημον	ἐρῆμος＆ἔρημος
ἔρημος	ἐρῆμος＆ἔρημος
ἐρήμου	ἐρῆμος＆ἔρημος
ἐρήμους	ἐρῆμος＆ἔρημος
ἐρήμῳ	ἐρῆμος＆ἔρημος
ἐρημώσεως	ἐρημώσις＆ἐρήμωσις
ἐρίθου	ἐρίθος＆ἔριθος
ἐρρέθη	εἶπον＆εἴρω＆ῥέω
ἐρριμμένον	ῥίπτω＆ῥίτωω
ἐρρύσθη	ἐρύω＆ῥύομαι
Εσδρα	Εσδρα＆Εσδρας＆Ἔσδρας
Εσδραν	Εσδραν＆Εσδρας
Εσδρας	Εσδρας＆Ἔσδρας
ἐσκίρτησαν	σκιρτάω＆σκιρτέω
ἐσκότασεν	σκοτάζω＆σκοτίζω
ἐσκύλευσεν	σκυλεύω＆σκύλευω
ἐσμικρύνθημεν	μικρύνω＆σμικρύνω
ἔσπειραν	σπεῖρα＆σπείρω
ἐστερεώθη	στερεόω＆στρερέω
ἔστωσαν	εἰμέ＆εἰμί
ἔσχατά	ἔσχατο＆ἔσχατος
ἔσχατοι	ἔσχατο＆ἔσχατος
ἔσχατον	ἔσχατο＆ἔσχατον＆ἔσχατος
ἔσχατος	ἔσχατο＆ἔσχατος
ἐσχάτου	ἔσχατο＆ἔσχατος
ἐσχάτῳ	ἔσχατο＆ἔσχατος
ἐσχάτων	ἔσχατο＆ἔσχατος
ἐσώτερον	ἔσω＆ἐσώτερον
ἔτι	ἔτι＆ἔτί
Ευαν	Ευα＆Ευαν
εὐλογημένος	εὐλογέω＆εὐλογημένος
εὐπρεπείας	εὐπρεπεία＆εὐπρέπεια
εὐσεβεῖ	εὐσεβέω＆εὐσεβής
ἐφ'	ἐπι＆ἐπί
ἐφήλατο	ἁλλομαι＆ἅλλομαι
ἐφημερίας	ἐφημερία＆ἐφημερίας
ἐφορᾷ	ὁράω＆φορά
Εφραιμ	Εφράιμ＆Ἐφράιμ
ἔφριξαν	φρίσσω＆φρίττω
ἔχεις	ἔχις＆ἔχω
ἐχθές	ἐχθές＆χθές
ἐχθὲς	ἐχθές＆ἐχθὲς＆χθές
ἔχθρα	ἔχθρα＆ἐχθρός
ἔχθραν	ἔχθρα＆ἐχθρός＆ἔχρα
ἔχθρας	ἔχθρα＆ἐχθρός
ἐψεύσαντο	ψεύδομαι＆ψεύδω
ἐψεύσαντό	ψεύδομαι＆ψεύδω
ἐψεύσατο	ψεύδομαι＆ψεύδω
Ζαχαρια	Ζαχαρια＆Ζαχαριας
Ζαχαριαν	Ζαχαριας＆Ζαχαρίας
Ζαχαριου	Ζαχαριας＆Ζαχαρίας＆Ζαχαριου
ζήλει	ζήλος＆ζηλόω
ζήλου	ζῆλος＆ζηλόω
ζηλῶν	ζηλόω＆ζνλόω
ζηλώσεως	ζηλώσις＆ζήλωσις
ζητήσει	ζητέω＆ζήτησις
ζήτω	ζάω＆ζητέω
ζυγοῖς	ζυγόν＆ζυγός
ζυγὸν	ζυγόν＆ζυγός
ζυγοῦ	ζυγόν＆ζυγός
ζύμη	ζυμή＆ζύμη
ζυμωθῆναι	ζύμομαι＆ζυμοῦσθαι
ζωγρείαν	ζωγρεία＆ζωγρίας
ζῶσαι	ζάω＆ζώννυμι
ζώσῃ	ζάω＆ζώνυμμι
ζῶσιν	ζάω＆ζώσις
ἦ	εἰμί＆ἤ＆ἦ
ἡ	ἡ＆ὁ
ἣ	ἥ＆ὅς
ἠβούλετο	ἀβουλέω＆βούλομαι
ἤγγικεν	ἄγω＆ἐγγίζω
ᾔδει	εἶδος＆οἶδα
ἠδυνήθη	ἀδυνάω＆δύναμαι
ἤθελον	ἐθέλω＆θέλω
ἠθύμησεν	ἀθυμέω＆ἀθύμέω＆θυμόω
ἤκουσα	ἀκούω＆ἥκω
ἥκω	ἥκω＆ἵημι
Ηλια	Ηλια＆Ηλιας
Ηλιου	Ηλιας＆Ηλιος＆Ηλιου
ἤμην	εἰμί＆ἐμός
ἠμύνατο	ἀμύνω＆ἀμύω
ἠνυπνιάσθην	ἐνυπνιάζομαι＆ἐνυπνιάζω
ἠπιστάμην	ἐπίσταμαι＆ἵστημι
ἦραν	αἴρω＆ἀρά
ἠρεμάζων	ἠρεμάζω＆ἠρεμάζων
ᾑρέτικεν	αἰρετίζω＆αἱρετίζω
ἤρχετο	ἄρχω＆ἔρχομαι
ἠρώτων	ἔρως＆ἐρωτάω
Ησαιαν	Ησαιαν＆Ησαιας
Ησαιας	Ησαιας＆Ἠσαίας
Ησαιου	Ησαιας＆Ἠσαίας
ἤχησεν	ἠχέω＆ἤχέω
ἤχθη	ἄγω＆ἄχθος＆ἔχω
ᾐχμαλωτεύθη	αἰχμαλωτεύω＆αἰχμαλωτίζω
ἦχον	ἔχω＆ἦχος
ἤχου	ἤχος＆ἦχος
ἠχρεώθησαν	ἀχρειόω＆ἀχρεόω
Θαιμανων	Θαιμαν＆Θαιμάν＆Θαιμανων
θάρρει	θαρρέω＆θαρσέω
θάρσει	θαρρέω＆θαρσέω＆θάρσος
θαρσεῖτε	θαρρέω＆θαρσέω
θαυμαστὰ	θαυμά＆θαυμαστός
θεϊμ	θείμ＆θεϊμ
θείῳ	θεῖον＆θεῖος
Θεκεμινας	Θεκεμινα＆Θεκεμινας
θέλῃ	ἐθέλω＆θέλω
θέλῃς	ἐθέλω＆θέλω
θελήσει	θέλης＆θελήσις＆θέλησις＆θέλω
θελόντων	ἐθέλω＆θέλω
θέλων	ἐθέλω＆θέλω
θεμέλια	θεμέλιον＆θεμέλιος
θεμέλιοι	θεμέλιος＆θεμελιόω
θεμέλιον	θεμέλιον＆θεμέλιος
θεμελίων	θεμελίον＆θεμέλιον
θεμελιώσει	θεμελιόω＆θεμελίωσις
θεραπαίνης	θεραπαίνα＆θεράπαινα
θεραφιν	θεραφιν＆θεραφις
θηλάσει	θηλάζω＆θηλάω
θιμωνιὰ	θημονία＆θημωνία＆θιμωνιά
Θισβης	Θισβη＆Θίσβη
θλίψει	θλίβω＆θλῖψις
θλίψεις	θλίβω＆θλῖψις
θορύβου	θορύβος＆θόρυβος
θράσει	θράσος＆θρασύς
θραύσει	θραῦσις＆θραύω
θρήνησον	θρηνέω＆θρήνέω
θύγατερ	θυγάτηρ＆θύγατηρ
θυγατέρας	θυγατήρ＆θυγάτηρ
θυγατράσιν	θυγατήρ＆θυγάτηρ＆θυγατράσιν
θυμιᾶν	θυμιάζω＆θυμιάω
θυμιῶντας	θυμιάζω＆θυμιάω
θυμιῶντες	θυμιάζω＆θυμιάω
