A	adjective
V.API2S	verb, Aor Pass Ind 2nd Sing
V.API3P	verb, Aor Pass Ind 3rd Plur
V.API3S	verb, Aor Pass Ind 3rd Sing
V.APN	verb, Acc Plur Neut
V.APO1P	verb, Aor Pass Opt 1st Plur
V.APO1S	verb, Aor Pass Opt 1st Sing
V.APO2P	verb, Aor Pass Opt 2nd Plur
V.APO2S	verb, Aor Pass Opt 2nd Sing
V.APO3P	verb, Aor Pass Opt 3rd Plur
V.APO3S	verb, Aor Pass Opt 3rd Sing
V.APP2S	verb, Aor Pass Part 2nd Sing
V.APPAPF	verb, Aor Pass Part Acc Plur Fem
V.APPAPM	verb, Aor Pass Part Acc Plur Masc
V.APPAPN	verb, Aor Pass Part Acc Plur Neut
V.APPASF	verb, Aor Pass Part Acc Sing Fem
V.APPASM	verb, Aor Pass Part Acc Sing Masc
V.APPASN	verb, Aor Pass Part Acc Sing Neut
V.APPDPM	verb, Aor Pass Part Dat Plur Masc
V.APPDPN	verb, Aor Pass Part Dat Plur Neut
V.APPDSF	verb, Aor Pass Part Dat Sing Fem
V.APPDSM	verb, Aor Pass Part Dat Sing Masc
V.APPGPM	verb, Aor Pass Part Gen Plur Masc
V.APPGPN	verb, Aor Pass Part Gen Plur Neut
V.APPGSF	verb, Aor Pass Part Gen Sing Fem
V.APPGSM	verb, Aor Pass Part Gen Sing Masc
V.APPGSN	verb, Aor Pass Part Gen Sing Neut
V.APPNPF	verb, Aor Pass Part Nom Plur Fem
V.APPNPM	verb, Aor Pass Part Nom Plur Masc
V.APPNPN	verb, Aor Pass Part Nom Plur Neut
V.APPNSF	verb, Aor Pass Part Nom Sing Fem
V.APPNSM	verb, Aor Pass Part Nom Sing Masc
V.APPNSN	verb, Aor Pass Part Nom Sing Neut
V.APPVSF	verb, Aor Pass Part Voc Sing Fem
V.APS1P	verb, Aor Pass Subj 1st Plur
V.APS1S	verb, Aor Pass Subj 1st Sing
V.APS2P	verb, Aor Pass Subj 2nd Plur
V.APS2S	verb, Aor Pass Subj 2nd Sing
V.APS3P	verb, Aor Pass Subj 3rd Plur
V.APS3S	verb, Aor Pass Subj 3rd Sing
V.FAD2S	verb, Fut Act Imperative 2nd Sing
V.FAI1P	verb, Fut Act Ind 1st Plur
V.FAI1S	verb, Fut Act Ind 1st Sing
V.FAI2P	verb, Fut Act Ind 2nd Plur
V.FAI2S	verb, Fut Act Ind 2nd Sing
V.FAI3P	verb, Fut Act Ind 3rd Plur
V.FAI3S	verb, Fut Act Ind 3rd Sing
V.FAN	verb, Fut Act Infin
V.FAO3P	verb, Fut Act Opt 3rd Plur
V.FAO3S	verb, Fut Act Opt 3rd Sing
V.FAPAPM	verb, Fut Act Part Acc Plur Masc
V.FAPASM	verb, Fut Act Part Acc Sing Masc
V.FAPASN	verb, Fut Act Part Acc Sing Neut
V.FAPNPM	verb, Fut Act Part Nom Plur Masc
V.FAPNSF	verb, Fut Act Part Nom Sing Fem
V.FAPNSM	verb, Fut Act Part Nom Sing Masc
V.FAPNSN	verb, Fut Act Part Nom Sing Neut
V.FAS1S	verb, Fut Act Subj 1st Sing
V.FMD2P	verb, Fut Mid Imperative 2nd Plur
V.FMI1P	verb, Fut Mid Ind 1st Plur
V.FMI1S	verb, Fut Mid Ind 1st Sing
V.FMI2P	verb, Fut Mid Ind 2nd Plur
V.FMI2S	verb, Fut Mid Ind 2nd Sing
V.FMI3P	verb, Fut Mid Ind 3rd Plur
V.FMI3S	verb, Fut Mid Ind 3rd Sing
V.FMN	verb, Fut Mid Infin
V.FMO1P	verb, Fut Mid Opt 1st Plur
V.FMO3S	verb, Fut Mid Opt 3rd Sing
V.FMPAPM	verb, Fut Mid Part Acc Plur Masc
V.FMPAPN	verb, Fut Mid Part Acc Plur Neut
V.FMPASF	verb, Fut Mid Part Acc Sing Fem
V.FMPASM	verb, Fut Mid Part Acc Sing Masc
V.FMPASN	verb, Fut Mid Part Acc Sing Neut
V.FMPGPN	verb, Fut Mid Part Gen Plur Neut
V.FMPGSF	verb, Fut Mid Part Gen Sing Fem
V.FMPGSM	verb, Fut Mid Part Gen Sing Masc
V.FMPNPN	verb, Fut Mid Part Nom Plur Neut
V.FMPNSM	verb, Fut Mid Part Nom Sing Masc
V.FMPNSN	verb, Fut Mid Part Nom Sing Neut
V.FMS2S	verb, Fut Mid Subj 2nd Sing
V.FPI1P	verb, Fut Pass Ind 1st Plur
V.FPI1S	verb, Fut Pass Ind 1st Sing
V.FPI2P	verb, Fut Pass Ind 2nd Plur
V.FPI2S	verb, Fut Pass Ind 2nd Sing
V.FPI3P	verb, Fut Pass Ind 3rd Plur
V.FPI3S	verb, Fut Pass Ind 3rd Sing
V.FPN	verb, Fut Pass Infin
V.FPPAPF	verb, Fut Pass Part Acc Plur Fem
V.FPPAPM	verb, Fut Pass Part Acc Plur Masc
V.FPPAPN	verb, Fut Pass Part Acc Plur Neut
V.FPPDPM	verb, Fut Pass Part Dat Plur Masc
V.FPPDPN	verb, Fut Pass Part Dat Plur Neut
V.FPPDSM	verb, Fut Pass Part Dat Sing Masc
V.FPPGPM	verb, Fut Pass Part Gen Plur Masc
V.FPPNPM	verb, Fut Pass Part Nom Plur Masc
V.FPPNSM	verb, Fut Pass Part Nom Sing Masc
