870	N	Noun
871	N	Noun
872	N	Noun
873	N	Noun
874	Np	Proper Noun
875	Np	Proper Noun
876	Np	Proper Noun
877	N	Noun
878	A	Adjective
879	N	Noun
880	V	Verbs
881	V	Verbs
882	N	Noun
883	V	Verbs
884	N	Noun
885	N	Noun
886	V	Verbs
887	A	Adjective
888	Np	Proper Noun
889	A	Adjective
890	N	Noun
891	A	Adjective
892	A	Adjective
893	Np	Proper Noun
894	Np	Proper Noun
895	A	Adjective
896	Np	Proper Noun
897	Np	Proper Noun
898	Np	Proper Noun
899	Np	Proper Noun
900	X	Particle
901	Np	Proper Noun
902	P	Preposition
903	N	Noun
904	N	Noun
905	V	Verbs
906	V	Verbs
907	N	Noun
908	V	Verbs
909	N	Noun
910	V	Verbs
911	V	Verbs
912	V	Verbs
913	V	Verbs
914	N	Noun
915	V	Verbs
916	N	Noun
917	V	Verbs
918	V	Verbs
919	Np	Proper Noun
920	Np	Proper Noun
921	V	Verbs
922	V	Verbs
923	V	Verbs
924	A	Adjective
925	N	Noun
926	N	Noun
927	V	Verbs
928	N	Noun
929	N	Noun
930	V	Verbs
931	N	Noun
932	V	Verbs
933	V	Verbs
934	D	Adverb
935	V	Verbs
936	N	Noun
937	N	Noun
938	V	Verbs
939	V	Verbs
940	N	Noun
941	V	Verbs
942	V	Verbs
943	V	Verbs
944	N	Noun
945	V	Verbs
946	V	Verbs
947	Np	Proper Noun
948	Np	Proper Noun
949	V	Verbs
950	N	Noun
951	V	Verbs
952	N	Noun
953	Np	Proper Noun
954	Np	Proper Noun
955	Np	Proper Noun
956	Np	Proper Noun
957	Np	Proper Noun
958	N	Noun
959	A	Adjective
960	D	Adverb
961	N	Noun
962	V	Verbs
963	A	Adjective
964	D	Adverb
965	V	Verbs
966	V	Verbs
967	V	Verbs
968	V	Verbs
969	V	Verbs
970	V	Verbs
971	V	Verbs
972	V	Verbs
973	V	Verbs
974	N	Noun
975	N	Noun
976	V	Verbs
977	V	Verbs
978	V	Verbs
979	V	Verbs
980	V	Verbs
981	N	Noun
982	V	Verbs
983	V	Verbs
