G700384		ἀθροίζω	athroizō	aθriyzo	gather round
G700385		ἄθροισμα	athroisma	aθriyzma	gathering
G700386		ἀθρόος	athroos	aθroos	in crowds
G700387		ἀθυμέω	athymeō	aθiymeo	despondent
G700388		ἀθυμία	athymia	aθiymiya	want of heart; faintheartedness
G700389		ἄθυτος	athytos	aθiytos	not offered
G700390		ἀθῷος	athōos	aθoos	guiltless
G700391		ἀθῳόω	athōoō	aθooo	hold guiltless
G700392		Αϊα	aia	aiya	Aia; Ea
G700393		Αιαλων	aialōn	ealon	Aialōn; Ealon
G700394		Αιγγαδοις	aingadois	enggaðiys	Aingadois; Enggathis
G700395		αἴγειος	aigeios	eyiyos	of a goat
G700396		αἰγιαλός	aigialos	eyiyalos	shore
G700397		αἰγίδιον	aigidion	eyiyðiyon	young goat
G700398		Αιγλα	aigla	egla	Aigla; Egla
G700399		Αἰγυπτία	aigyptia	eyiyptiya	Egyptian
G700400		Αἰγύπτιος	aigyptios	eyiyptiyos	Egyptian
G700401		Αἴγυπτος	aigyptos	eyiyptos	Aigyptos; Eyiptos
G700402		αιδαδ	aidad	eðað	shouting in harvest
G700403		Αιδαν	aidan	eðan	Aidan; Ethan
G700404		αἰδέομαι	aideomai	eðeome	ashamed to do
G700405		αἰδήμων	aidēmōn	eðiymon	bashful; modest
G700406		ἀΐδιος	aΐdios	aΐðiyos	perpetual
G700407		ἀϊδιότης	aidiotēs	aiyðiyotiys	eternity
G700408		αἰδοῖος	aidoios	eðiyos	regarded with reverence; august
G700409		αἰδώς	aidōs	eðos	decency
G700410		Αιε	aie	ee	Aie; Ee
G700411		Αιζηλ	aizēl	eziyl	Aizēl; Ezil
G700412		αἰθάλη	aithalē	eθaliy	soot
G700413		Αιθαλιμ	aithalim	eθaliym	Aithalim; Ethalim
G700414		Αιθαμ	aitham	eθam	Aitham; Etham
G700415		Αιθαμιν	aithamin	eθamiyn	Aithamin; Ethamin
G700416		Αιθαν	aithan	eθan	Aithan; Ethan
G700417		Αιθι	aithi	eθiy	Aithi; Ethi
G700418		Αιθιηλ	aithiēl	eθiyiyl	Aithiēl; Ethil
G700419		Αἰθιοπία	aithiopia	eθiyopiya	Aithiopia; Ethiopia
G700420		Αἰθίοψ	aithiops	eθiyops	Aithiops; Ethiops
G700421		αἴθριος	aithrios	eθriyos	clear; bright
G700422		Αιιν	aiin	iyn	Aiin; In
G700423		Αικαρεν	aikaren	ekaren	Aikaren; Ekaren
G700424		αἰκία	aikia	ekiya	injurious treatment; affront
G700425		αἰκίζομαι	aikizomai	ekiyzome	maltreat; torture
G700426		αἰκίζω	aikizō	ekiyzo	treat injuriously; plague
G700427		αἰκισμός	aikismos	ekiyzmos	discomfort
G700428		αιλ	ail	el	doorpost
G700429		Αιλαθ	ailath	elaθ	Ailath; Elath
G700430		Αιλαμ	ailam	elam	Ailam; Elam
G700431		αιλαμ	ailam	elam	porch
G700432		Αιλαμείτης	ailameitēs	elamiytiys	Ailameitēs; Elamitis
G700433		Αἰλαμίτης	ailamitēs	elamiytiys	Ailamitēs; Elamitis
G700434		αιλαμμω	ailammō	elammo	its porch
G700435		αιλευ	aileu	elev	its doorpost
G700436		Αιλιμ	ailim	eliym	Ailim; Elim
G700437		αἴλουρος	ailouros	eluros	cat
G700438		Αιλους	ailous	elus	Ailous; Elus
G700439		Αιλωθ	ailōth	eloθ	Ailōth; Eloth
G700440		Αιλωμ	ailōm	elom	Ailōm; Elom
G700441		Αιλων	ailōn	elon	Ailōn; Elon
G700442		αἷμα	haima	ema	blood; bloodstreams
G700443		Αιμαθ	aimath	emaθ	Aimath; Emath
G700444		Αιμαν	aiman	eman	Aiman; Eman
G700445		Αιμανι	aimani	emaniy	Aimani; Emani
G700446		Αιμαρεκ	aimarek	emarek	Aimarek; Emarek
G700447		αἱμάσσω	haimassō	emasso	make bloody stain with blood
G700448		αἱμοβόρος	haimoboros	emovoros	blood-sucking; greedy of blood
G700449		αἱμορροέω	haimorroeō	emorroeo	hemorrhage
G700450		αἱμωδιάω	haimōdiaō	emoðiyao	become dumb; become tingly
G700451		Αιν	ain	en	Ain; En
G700452		αιν	ain	en	spring
G700453		Αιναγαλιμ	ainagalim	enagaliym	Ainagalim; Enagalim
